data_testing_no,tweet_original,tweet_preprocessed,class_evaluated,prior_probability,log_prior,total_log_probability,is_predicted_class,top_feature_contributions
1,@Fahrihamzah Aceh itu dah tentram dan damai kenapa harus diganggu ganggu lagi pak Prabowo hrs membatalkan pemindahan pulau tsb ganti orang orang Jokowi di kabinet,aceh deh tenteram damai kenapa harus ganggu ganggu lagi pak prabowo harus batal pindah pulau sebut ganti orang orang jokowi kabinet,negatif,0.5544794188861986,-0.5897255894067931,-17.391356073517386,Ya,"'aceh' (idx 0): val=0.2228, P=0.005870, log_P=-1.144631 | 'ganggu' (idx 95): val=0.5875, P=0.002065, log_P=-3.632493 | 'ganti' (idx 96): val=0.2083, P=0.004982, log_P=-1.104249 | 'harus' (idx 107): val=0.4231, P=0.005306, log_P=-2.216550 | 'jokowi' (idx 132): val=0.1556, P=0.010475, log_P=-0.709407 | 'kenapa' (idx 152): val=0.2458, P=0.003311, log_P=-1.403453 | 'lagi' (idx 163): val=0.2150, P=0.004036, log_P=-1.185420 | 'orang' (idx 218): val=0.3281, P=0.013015, log_P=-1.424536 | 'pak' (idx 220): val=0.1438, P=0.012832, log_P=-0.626308 | 'prabowo' (idx 241): val=0.0781, P=0.017370, log_P=-0.316674"
1,@Fahrihamzah Aceh itu dah tentram dan damai kenapa harus diganggu ganggu lagi pak Prabowo hrs membatalkan pemindahan pulau tsb ganti orang orang Jokowi di kabinet,aceh deh tenteram damai kenapa harus ganggu ganggu lagi pak prabowo harus batal pindah pulau sebut ganti orang orang jokowi kabinet,netral,0.3075060532687651,-1.1792605065024415,-18.68657798421215,Tidak,"'aceh' (idx 0): val=0.2228, P=0.003629, log_P=-1.251790 | 'ganggu' (idx 95): val=0.5875, P=0.002062, log_P=-3.633244 | 'ganti' (idx 96): val=0.2083, P=0.005333, log_P=-1.090038 | 'harus' (idx 107): val=0.4231, P=0.002156, log_P=-2.597701 | 'jokowi' (idx 132): val=0.1556, P=0.007297, log_P=-0.765679 | 'kenapa' (idx 152): val=0.2458, P=0.002052, log_P=-1.521012 | 'lagi' (idx 163): val=0.2150, P=0.004292, log_P=-1.172188 | 'orang' (idx 218): val=0.3281, P=0.004328, log_P=-1.785786 | 'pak' (idx 220): val=0.1438, P=0.008999, log_P=-0.677321 | 'prabowo' (idx 241): val=0.0781, P=0.020409, log_P=-0.304078"
1,@Fahrihamzah Aceh itu dah tentram dan damai kenapa harus diganggu ganggu lagi pak Prabowo hrs membatalkan pemindahan pulau tsb ganti orang orang Jokowi di kabinet,aceh deh tenteram damai kenapa harus ganggu ganggu lagi pak prabowo harus batal pindah pulau sebut ganti orang orang jokowi kabinet,positif,0.13801452784503632,-1.9803963251264827,-20.3653525849595,Tidak,"'aceh' (idx 0): val=0.2228, P=0.002039, log_P=-1.380245 | 'ganggu' (idx 95): val=0.5875, P=0.002039, log_P=-3.639976 | 'ganti' (idx 96): val=0.2083, P=0.003672, log_P=-1.167792 | 'harus' (idx 107): val=0.4231, P=0.002356, log_P=-2.560086 | 'jokowi' (idx 132): val=0.1556, P=0.003364, log_P=-0.886153 | 'kenapa' (idx 152): val=0.2458, P=0.002039, log_P=-1.522633 | 'lagi' (idx 163): val=0.2150, P=0.002039, log_P=-1.332289 | 'orang' (idx 218): val=0.3281, P=0.002285, log_P=-1.995392 | 'pak' (idx 220): val=0.1438, P=0.006230, log_P=-0.730193 | 'prabowo' (idx 241): val=0.0781, P=0.013499, log_P=-0.336375"
2,@KangManto123 Kabinet @prabowo di isi oleh org2 yg menghancurkan marwahnya sbg presiden RI. Sy sngt berharap presiden @prabowo sadar dan memecat spt Bahlil Budi arie ara Luhut ...sebelum kapal ini tengelam oleh kelakuan mrk,kabinet isi orang yang hancur marwahnya bagai presiden ri saya sangat harap presiden sadar pecat seperti bahlil budi arie ara luhut kapal tengelam laku mereka,negatif,0.5544794188861986,-0.5897255894067931,-22.601456020750362,Ya,"'arie' (idx 18): val=0.2737, P=0.002037, log_P=-1.695910 | 'bagai' (idx 22): val=0.2476, P=0.003738, log_P=-1.383879 | 'bahlil' (idx 27): val=0.2337, P=0.005408, log_P=-1.219690 | 'budi' (idx 64): val=0.2737, P=0.002685, log_P=-1.620399 | 'harap' (idx 105): val=0.2660, P=0.002938, log_P=-1.550782 | 'isi' (idx 117): val=0.2561, P=0.003415, log_P=-1.454343 | 'laku' (idx 167): val=0.2102, P=0.004392, log_P=-1.141181 | 'luhut' (idx 180): val=0.2931, P=0.002015, log_P=-1.819553 | 'mereka' (idx 199): val=0.3060, P=0.002015, log_P=-1.899655 | 'orang' (idx 218): val=0.1752, P=0.013015, log_P=-0.760748"
2,@KangManto123 Kabinet @prabowo di isi oleh org2 yg menghancurkan marwahnya sbg presiden RI. Sy sngt berharap presiden @prabowo sadar dan memecat spt Bahlil Budi arie ara Luhut ...sebelum kapal ini tengelam oleh kelakuan mrk,kabinet isi orang yang hancur marwahnya bagai presiden ri saya sangat harap presiden sadar pecat seperti bahlil budi arie ara luhut kapal tengelam laku mereka,netral,0.3075060532687651,-1.1792605065024415,-24.262232086166566,Tidak,"'arie' (idx 18): val=0.2737, P=0.002390, log_P=-1.652280 | 'bagai' (idx 22): val=0.2476, P=0.002198, log_P=-1.515327 | 'bahlil' (idx 27): val=0.2337, P=0.004437, log_P=-1.265933 | 'budi' (idx 64): val=0.2737, P=0.001471, log_P=-1.785019 | 'harap' (idx 105): val=0.2660, P=0.001852, log_P=-1.673537 | 'isi' (idx 117): val=0.2561, P=0.003270, log_P=-1.465430 | 'laku' (idx 167): val=0.2102, P=0.005779, log_P=-1.083476 | 'luhut' (idx 180): val=0.2931, P=0.003273, log_P=-1.677354 | 'mereka' (idx 199): val=0.3060, P=0.001471, log_P=-1.995867 | 'orang' (idx 218): val=0.1752, P=0.004328, log_P=-0.953666"
2,@KangManto123 Kabinet @prabowo di isi oleh org2 yg menghancurkan marwahnya sbg presiden RI. Sy sngt berharap presiden @prabowo sadar dan memecat spt Bahlil Budi arie ara Luhut ...sebelum kapal ini tengelam oleh kelakuan mrk,kabinet isi orang yang hancur marwahnya bagai presiden ri saya sangat harap presiden sadar pecat seperti bahlil budi arie ara luhut kapal tengelam laku mereka,positif,0.13801452784503632,-1.9803963251264827,-24.551501546510632,Tidak,"'arie' (idx 18): val=0.2737, P=0.003199, log_P=-1.572430 | 'bagai' (idx 22): val=0.2476, P=0.004115, log_P=-1.360083 | 'bahlil' (idx 27): val=0.2337, P=0.002428, log_P=-1.406834 | 'budi' (idx 64): val=0.2737, P=0.003071, log_P=-1.583603 | 'harap' (idx 105): val=0.2660, P=0.002638, log_P=-1.579363 | 'isi' (idx 117): val=0.2561, P=0.002867, log_P=-1.499097 | 'laku' (idx 167): val=0.2102, P=0.003723, log_P=-1.175906 | 'luhut' (idx 180): val=0.2931, P=0.002039, log_P=-1.816197 | 'mereka' (idx 199): val=0.3060, P=0.002039, log_P=-1.896067 | 'orang' (idx 218): val=0.1752, P=0.002285, log_P=-1.065602"
3,@democrazymedia Sepanjang titipan orang2 jokowi msh dikabinet pa prabowo mereka pasti akan menjalankan agenda2 yg akan menjatuhkan nama prabowo dimata rakyat...waspadalah waspadalah dgn geng solo..adili jokowi n makzulkan gibran..baru kabinet prabowo kompak,panjang titip orang jokowi masih kabinet apa prabowo pasti jalan agenda yang jatuh nama prabowo mata rakyatwaspadalah waspada dengan geng soloadili jokowi makzul gibranbaru kabinet prabowo kompak,negatif,0.5544794188861986,-0.5897255894067931,-20.75936785438906,Ya,"'agenda' (idx 2): val=0.3246, P=0.001379, log_P=-2.137804 | 'dengan' (idx 81): val=0.2324, P=0.004742, log_P=-1.243740 | 'geng' (idx 97): val=0.2573, P=0.002636, log_P=-1.527760 | 'jalan' (idx 124): val=0.2684, P=0.004338, log_P=-1.460382 | 'jokowi' (idx 132): val=0.3525, P=0.010475, log_P=-1.607174 | 'kompak' (idx 157): val=0.2997, P=0.001832, log_P=-1.889089 | 'makzul' (idx 183): val=0.3246, P=0.001560, log_P=-2.097816 | 'masih' (idx 189): val=0.2032, P=0.006938, log_P=-1.010027 | 'nama' (idx 207): val=0.2903, P=0.001879, log_P=-1.822064 | 'orang' (idx 218): val=0.1858, P=0.013015, log_P=-0.806829"
3,@democrazymedia Sepanjang titipan orang2 jokowi msh dikabinet pa prabowo mereka pasti akan menjalankan agenda2 yg akan menjatuhkan nama prabowo dimata rakyat...waspadalah waspadalah dgn geng solo..adili jokowi n makzulkan gibran..baru kabinet prabowo kompak,panjang titip orang jokowi masih kabinet apa prabowo pasti jalan agenda yang jatuh nama prabowo mata rakyatwaspadalah waspada dengan geng soloadili jokowi makzul gibranbaru kabinet prabowo kompak,netral,0.3075060532687651,-1.1792605065024415,-21.88927582618617,Tidak,"'agenda' (idx 2): val=0.3246, P=0.002411, log_P=-1.956410 | 'dengan' (idx 81): val=0.2324, P=0.003432, log_P=-1.318856 | 'geng' (idx 97): val=0.2573, P=0.002883, log_P=-1.504673 | 'jalan' (idx 124): val=0.2684, P=0.001884, log_P=-1.684214 | 'jokowi' (idx 132): val=0.3525, P=0.007297, log_P=-1.734661 | 'kompak' (idx 157): val=0.2997, P=0.002922, log_P=-1.749034 | 'makzul' (idx 183): val=0.3246, P=0.002935, log_P=-1.892570 | 'masih' (idx 189): val=0.2032, P=0.004379, log_P=-1.103558 | 'nama' (idx 207): val=0.2903, P=0.001813, log_P=-1.832449 | 'orang' (idx 218): val=0.1858, P=0.004328, log_P=-1.011433"
3,@democrazymedia Sepanjang titipan orang2 jokowi msh dikabinet pa prabowo mereka pasti akan menjalankan agenda2 yg akan menjatuhkan nama prabowo dimata rakyat...waspadalah waspadalah dgn geng solo..adili jokowi n makzulkan gibran..baru kabinet prabowo kompak,panjang titip orang jokowi masih kabinet apa prabowo pasti jalan agenda yang jatuh nama prabowo mata rakyatwaspadalah waspada dengan geng soloadili jokowi makzul gibranbaru kabinet prabowo kompak,positif,0.13801452784503632,-1.9803963251264827,-22.834289700085215,Tidak,"'agenda' (idx 2): val=0.3246, P=0.002559, log_P=-1.937123 | 'dengan' (idx 81): val=0.2324, P=0.003006, log_P=-1.349687 | 'geng' (idx 97): val=0.2573, P=0.004189, log_P=-1.408585 | 'jalan' (idx 124): val=0.2684, P=0.003586, log_P=-1.511471 | 'jokowi' (idx 132): val=0.3525, P=0.003364, log_P=-2.007595 | 'kompak' (idx 157): val=0.2997, P=0.003577, log_P=-1.688487 | 'makzul' (idx 183): val=0.3246, P=0.002039, log_P=-2.010918 | 'masih' (idx 189): val=0.2032, P=0.003443, log_P=-1.152398 | 'nama' (idx 207): val=0.2903, P=0.002484, log_P=-1.741140 | 'orang' (idx 218): val=0.1858, P=0.002285, log_P=-1.130149"
4,Mentri titipan Jokowi di kabinet prabowo adalah PENGKHIANAT BANGSAT..PERUSAK NKRI..,tri titip jokowi kabinet prabowo khianat bangsatperusak nkri,negatif,0.5544794188861986,-0.5897255894067931,-12.003447573712887,Ya,"'jokowi' (idx 132): val=0.3423, P=0.010475, log_P=-1.560617 | 'nkri' (idx 214): val=0.6303, P=0.001796, log_P=-3.985174 | 'prabowo' (idx 241): val=0.1719, P=0.017370, log_P=-0.696649 | 'titip' (idx 310): val=0.4692, P=0.005359, log_P=-2.453223 | 'tri' (idx 313): val=0.4856, P=0.003708, log_P=-2.718059"
