tweet_id,username,original_text,final_text,word_count_before,word_count_after,removed_urls,removed_mentions,removed_hashtags,removed_stopwords,normalized_words,stemmed_words,processed_at
1934036271296586213,,Presiden Prabowo akan kesulitan benahi masalah bangsa yang carut-marut bilamana orang-orang Jokowi masih ada dalam kabinet. Orang-orang titipan Jokowi bukannya membantu tapi hanya menjadi beban Prabowo. Presiden Prabowo dalam kondisi dan posisi dilematis.,presiden prabowo sulit benah masalah bangsa carutmarut bilamana orangorang jokowi masih ada kabinet orangorang titip jokowi bukan bantu tetapi jadi beban prabowo presiden prabowo kondisi posisi lat,33,27,0,0,0,6,1,7,2026-06-25 17:03:59
1934021528582238545,,@hapuskanpinjol @kompascom Tito dan loyalis Jokowi lainnya yg berada di kabinet @prabowo tidak ada yg menganggap Prabowo Presiden mereka merasa bahwa atasannya adalah Jokowi mereka bekerja untuk kepentingan Jokowi. Hal spt ini kalau dibiarkan akan jd polemik &amp; bs jd ancaman terhadap presiden,tito loyalis jokowi lain yang ada kabinet tidak ada yang anggap prabowo presiden rasa bahwa atas jokowi kerja penting jokowi hal seperti biar jadi polemik amp bisa jadi ancam hadap presiden,43,31,0,3,0,9,6,10,2026-06-25 17:03:59
1934018247890022436,,@124hmahHastuti1 Lebih dari pantas klau perlu hilang dari sejarah negeri ini. Kenapa dia diangakat lagi jd menteri d era presiden prabowo patut diduga karena cawe-cawe mulyono. Org ini jd instabilitas dlm kabinet merah putih. Peca,pantas kalau perlu hilang sejarah negeri kenapa diangakat lagi jadi menteri ada era presiden prabowo patut duga cawecawe mulyono orang jadi instabilitas dalam kabinet merah putih peca,35,27,0,1,0,7,6,1,2026-06-25 17:03:59
1934012264069403068,,@ferrykoto Dan sekarang tetap dipelihara oleh @prabowo jadilah kabinet omon2 . ,sekarang tetap pelihara jadi kabinet omon,11,6,0,2,0,2,0,2,2026-06-25 17:03:59
1934006420846137511,,@Dito101074 Sayangnya pelemahan pemerintahan bapak prabowo ada di dalam kabinet pak prabowo sendiri Terutama pelaku-pelaku korupsi semasa jokowi Apakah bapak prabowo menyadari hal ini ????,sayang lemah perintah bapak prabowo ada kabinet pak prabowo sendiri utama pelakupelaku korupsi masa jokowi apakah bapak prabowo sadar hal,25,20,0,1,0,3,0,6,2026-06-25 17:04:00
1933989006662115765,,@124hmahHastuti1 DIPECAT DARI KABINET PRABOWO !,pecat kabinet prabowo,6,3,0,1,0,1,0,1,2026-06-25 17:04:00
1933983080169230627,,@NgkongRoses @ch_chotimah2 ga ada yang bisa dibanggakan dari kabinet prabowo sekarang.. to*ol semua..,enggak ada bisa bangga kabinet prabowo sekarang tool semua,13,9,0,2,0,2,1,1,2026-06-25 17:04:00
1933951550000652329,,@anaknyasiape @NenkMonica jokowi sudah wariskan Perppu utk semua mentri (khususnya mentri titipan) di kabinet prabowo tentang hak mengeluarkan Permen,jokowi waris perppu untuk semua tri khusus tri titip kabinet prabowo tentang hak keluar permen,19,15,0,2,0,2,1,6,2026-06-25 17:04:00
1933949641294549284,,@matchstickthief satu kali ngomong asing dimasukkan kabinet prabowo,satu kali omong asing masuk kabinet prabowo,8,7,0,1,0,0,1,2,2026-06-25 17:04:01
1933944068008227305,,@BosPurwa @prabowo @bahlillahadalia prabowo mana berani melakukan reshefulle kabinet mengganti BLT. yg ada bakal prabowo bs di mazulkan sama BOS BLT.,prabowo mana berani laku reshefulle kabinet ganti blt yang ada bakal prabowo bisa mazulkan sama bos blt,21,17,0,3,0,1,2,2,2026-06-25 17:04:01
